rollout_id,model_variant,quantization_method,task_name,trial_index,automatic_failure_reason,failure_detail,manual_failure_reason,manual_failure_note,episode_steps,zero_equivalent_arm_action_count,zero_equivalent_full_noop_count,repeated_action_count,repeated_chunk_count,last_action,video_path,timestamp
task_05_trial_014,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,14,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.0028014963027089834, 0.07534594088792801, -0.05588902160525322, 0.010929832234978676, 0.001033238717354834, 0.01246553473174572, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_05_trial_014.mp4,2026-07-28T21:01:49.187233+00:00
task_05_trial_036,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,36,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.014277666807174683, 0.04111616685986519, -0.02520839124917984, 0.007888188585639, 0.001753889606334269, 0.006439512595534325, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_05_trial_036.mp4,2026-07-28T21:05:32.484399+00:00
task_05_trial_044,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,44,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.04671934247016907, 0.06979784369468689, -0.06003504991531372, 0.009200270287692547, -0.0037078852765262127, 0.014780408702790737, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_05_trial_044.mp4,2026-07-28T21:07:03.083229+00:00
task_06_trial_027,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,27,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.03501664847135544, 0.018775176256895065, 0.08409135043621063, 0.013434715569019318, 0.0040391115471720695, 0.004234870430082083, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_06_trial_027.mp4,2026-07-28T21:13:44.877122+00:00
task_06_trial_036,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,36,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.06747577339410782, 0.045524924993515015, 0.09031039476394653, 0.023737536743283272, 0.006058830302208662, 0.020788058638572693, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_06_trial_036.mp4,2026-07-28T21:15:57.755639+00:00
task_06_trial_038,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,38,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.012186340987682343, 0.004211424384266138, -0.0699855238199234, -0.01089843362569809, 0.003195191267877817, 0.07419551908969879, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_06_trial_038.mp4,2026-07-28T21:16:34.259277+00:00
task_06_trial_045,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,45,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.04111634939908981, 0.017190005630254745, 0.04112810641527176, 0.018146280199289322, 0.003991700243204832, 0.013347391970455647, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_06_trial_045.mp4,2026-07-28T21:18:10.775078+00:00
task_08_trial_008,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,8,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.13525214791297913, 0.3513637185096741, -0.20017090439796448, 0.0022223819978535175, -0.04197823628783226, -0.004289746284484863, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_08_trial_008.mp4,2026-07-28T21:31:27.643274+00:00
task_08_trial_020,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,20,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.03553948178887367, -0.6789969205856323, 0.01334969699382782, 0.011585872620344162, 0.02143903635442257, 0.06361323595046997, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_08_trial_020.mp4,2026-07-28T21:35:13.508579+00:00
task_08_trial_021,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,21,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.0017297102604061365, 0.060782186686992645, 0.04693254828453064, 0.002938062883913517, 0.006352779921144247, 0.0012953472323715687, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_08_trial_021.mp4,2026-07-28T21:35:35.836783+00:00
task_08_trial_022,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,22,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.12270419299602509, 0.3545340299606323, -0.10481218993663788, 0.0021031019277870655, -0.00010463098442414775, 0.015478545799851418, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_08_trial_022.mp4,2026-07-28T21:35:58.419442+00:00
task_08_trial_023,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,23,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.2788304090499878, -0.5299909710884094, 0.3885655105113983, 0.02876221388578415, -0.03242013230919838, 0.09829960763454437, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_08_trial_023.mp4,2026-07-28T21:36:20.874837+00:00
task_08_trial_024,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,24,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.05857019126415253, 0.18967634439468384, -0.0865696519613266, -0.0007596215000376105, -0.0020010806620121002, -0.002232080325484276, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_08_trial_024.mp4,2026-07-28T21:36:43.336028+00:00
task_08_trial_037,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,37,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.03138295188546181, 0.1746172308921814, -0.0036490296479314566, 0.00019461962801869959, -0.02650320902466774, -0.039857976138591766, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_08_trial_037.mp4,2026-07-28T21:40:41.321232+00:00
task_09_trial_002,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,2,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.0740111693739891, 0.057413700968027115, 0.08232928812503815, 0.024989979341626167, 0.011274066753685474, 0.03186638653278351, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_09_trial_002.mp4,2026-07-28T21:45:01.256176+00:00
task_09_trial_037,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,37,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.12790638208389282, 0.15401001274585724, -0.04759695753455162, 0.017162218689918518, -0.0213448666036129, 0.02407664991915226, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_09_trial_037.mp4,2026-07-28T21:52:32.471875+00:00
