rollout_id,run_id,model_variant,quantization_backend,quantization_method,language_model_loaded_in_8bit,task_index,task_name,task_instruction,trial_index,initial_state_id,rollout_seed,success,timeout,termination_reason,episode_steps,steps_to_success,episode_time_seconds,inference_calls,actions_generated,actions_executed,replan_count,avg_inference_latency_ms,p95_inference_latency_ms,avg_amortized_inference_ms_per_action,avg_environment_step_latency_ms,p95_environment_step_latency_ms,avg_end_to_end_latency_ms,p95_end_to_end_latency_ms,avg_amortized_end_to_end_ms_per_action,control_frequency_hz,peak_vram_allocated_gb,peak_vram_reserved_gb,invalid_action_count,zero_equivalent_arm_action_count,zero_equivalent_full_noop_count,repeated_action_count,repeated_chunk_count,max_consecutive_zero_equivalent_actions,max_consecutive_repeated_chunks,collapse_warning_count,automatic_failure_reason,failure_detail,manual_failure_reason,manual_failure_note,video_path,started_at,finished_at
task_00_trial_010,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,10,10,52,True,False,success,398,398,21.306253,50,400,398,49,198.96618720144033,205.7215416803956,24.995752160984967,20.175720148499888,26.595997065305706,391.2604422867298,433.124512527138,49.153321895317816,20.344504937625725,9.24874210357666,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_010.mp4,2026-07-28T20:04:21.254481+00:00,2026-07-28T20:04:42.561441+00:00
task_00_trial_011,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,11,11,53,True,False,success,295,295,15.308273,37,296,295,36,195.16125804669147,209.63415019214153,24.477852704161304,18.736988186078555,22.191009111702442,374.95872373315126,403.70742306113243,47.028721281785074,21.26360174686091,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_011.mp4,2026-07-28T20:04:42.563989+00:00,2026-07-28T20:04:57.873021+00:00
task_00_trial_012,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,12,12,54,True,False,success,257,257,13.809225,33,264,257,32,193.76044991341504,198.78212437033653,24.87974648693656,19.139328333712275,26.326201856136322,372.97393144531685,431.2058325856924,47.89159431009905,20.88049091715301,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_012.mp4,2026-07-28T20:04:57.875311+00:00,2026-07-28T20:05:11.685282+00:00
task_00_trial_013,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,13,13,55,True,False,success,275,275,15.165731,35,280,275,34,205.78627320272582,252.3289918899536,26.190980225801468,19.178492203354836,25.568902119994164,388.6142850986549,466.2752386182546,49.45999992164698,20.218358301337837,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_013.mp4,2026-07-28T20:05:11.687399+00:00,2026-07-28T20:05:26.853870+00:00
task_00_trial_014,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,14,14,56,True,False,success,300,300,15.57539,38,304,300,37,195.96594763233475,203.83558571338654,24.8223533667624,18.326001080373924,21.662345249205828,371.05362867250255,393.9237991347909,47.00012629851699,21.276538570313445,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_014.mp4,2026-07-28T20:05:26.855744+00:00,2026-07-28T20:05:42.431806+00:00
task_00_trial_015,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,15,15,57,True,False,success,265,265,14.408791,34,272,265,33,196.62320531685563,202.76475166901946,25.22712822933242,19.834025260412467,23.874091729521748,382.1730368277606,412.67920872196555,49.033521706203246,20.39421124984155,9.24874210357666,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_015.mp4,2026-07-28T20:05:42.434644+00:00,2026-07-28T20:05:56.844284+00:00
task_00_trial_016,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,16,16,58,True,False,success,313,313,17.430135,40,320,313,39,205.40808755904436,216.9101705774665,26.250234831826756,19.936644225217663,25.932081416249265,393.2844375260174,430.92792239040136,50.25999201610446,19.896541162990573,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_016.mp4,2026-07-28T20:05:56.846425+00:00,2026-07-28T20:06:14.277230+00:00
task_00_trial_017,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,17,17,59,True,False,success,294,294,15.833734,37,296,294,36,203.1159343550334,217.64909364283085,25.562209425633455,18.984676313390132,24.398538470268235,385.83841164772576,414.3068850040436,48.557895343421265,20.59397329574504,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_017.mp4,2026-07-28T20:06:14.279201+00:00,2026-07-28T20:06:30.113717+00:00
task_00_trial_018,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,18,18,60,True,False,success,272,272,14.836582,34,272,272,33,202.22378429025412,208.0420456826687,25.277973036281765,19.467161742367725,27.52975607290864,390.597936916439,424.0159199573099,48.82474211455487,20.48141898330469,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_018.mp4,2026-07-28T20:06:30.116072+00:00,2026-07-28T20:06:44.953442+00:00
task_00_trial_019,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,19,19,61,True,False,success,244,244,13.321251,31,248,244,30,196.43008282348032,206.12282864749432,24.956281014458565,18.39323146421401,21.44083259627223,371.61288626732363,388.87986075133085,47.21311259953702,21.180556522126146,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_019.mp4,2026-07-28T20:06:44.955821+00:00,2026-07-28T20:06:58.277699+00:00
task_00_trial_020,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,20,20,62,True,False,success,284,284,14.888712,36,288,284,35,198.02054245438842,205.9358423575759,25.10119552238726,18.319415689354212,21.398812811821692,373.9886878368755,392.0934433117509,47.407016768054646,21.09392381496262,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_020.mp4,2026-07-28T20:06:58.279851+00:00,2026-07-28T20:07:13.169514+00:00
task_00_trial_021,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,21,21,63,True,False,success,323,323,18.068032,41,328,323,40,209.8506714512662,274.8230770230293,26.637391732204073,18.93678712355832,24.14366155862808,391.1489837507649,461.66839450597763,49.650490197465516,20.14078805713476,9.24874210357666,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_021.mp4,2026-07-28T20:07:13.172187+00:00,2026-07-28T20:07:31.240923+00:00
task_00_trial_022,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,22,22,64,True,False,success,241,241,13.66362,31,248,241,30,197.8318359582655,208.79588928073645,25.447248608739546,18.94425286204241,24.65890720486641,375.16194215464975,422.7504776790738,48.257345256407234,20.722233987109515,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_022.mp4,2026-07-28T20:07:31.242685+00:00,2026-07-28T20:07:44.906943+00:00
task_00_trial_023,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,23,23,65,True,False,success,287,287,14.87557,36,288,287,35,197.112826940914,206.85156900435686,24.72495390199618,18.237852572564048,21.735183894634243,373.9016943404244,398.6699697561562,46.90056096256195,21.321706595327147,9.24874210357666,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_023.mp4,2026-07-28T20:07:44.909069+00:00,2026-07-28T20:07:59.785410+00:00
task_00_trial_024,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,24,24,66,True,False,success,256,256,14.100033,32,256,256,31,200.7796837715432,208.27200543135405,25.0974604714429,19.616261204646435,24.92179349064827,389.6989772329107,424.3098644539714,48.71237215411384,20.528665630083637,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_024.mp4,2026-07-28T20:07:59.787529+00:00,2026-07-28T20:08:13.888319+00:00
task_00_trial_025,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,25,25,67,True,False,success,253,253,13.951881,32,256,253,31,199.96676873415709,206.38298448175192,25.292239523687854,19.482756526809435,25.63769258558749,385.4843182489276,415.8221292309463,48.756909818046175,20.509913440615026,9.24874210357666,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_025.mp4,2026-07-28T20:08:13.894456+00:00,2026-07-28T20:08:27.847019+00:00
task_00_trial_026,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,26,26,68,True,False,success,256,256,13.872583,32,256,256,31,199.87319770734757,209.206810221076,24.984149713418446,19.138946721795946,25.948586408048868,385.7989943353459,418.7997252680361,48.22487429191824,20.736186764256324,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_026.mp4,2026-07-28T20:08:27.849024+00:00,2026-07-28T20:08:41.722355+00:00
task_00_trial_027,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,27,27,69,True,False,success,281,281,15.554754,36,288,281,35,198.37524519405432,207.5615799985826,25.414622160092367,19.64791645411919,26.33546106517315,383.0569923027522,426.6835041344166,49.07491716334192,20.377008414942004,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_027.mp4,2026-07-28T20:08:41.724561+00:00,2026-07-28T20:08:57.280048+00:00
task_00_trial_028,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,28,28,70,True,False,success,278,278,14.803739,35,280,278,34,195.89746030313628,201.94829478859901,24.663349318740178,19.444644591844767,25.002399180084467,381.5014046217714,415.62005300074816,48.03075238043885,20.819994491846916,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_028.mp4,2026-07-28T20:08:57.282124+00:00,2026-07-28T20:09:12.086642+00:00
task_00_trial_029,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,29,29,71,True,False,success,273,273,14.525827,35,280,273,34,194.40977738371916,201.03851296007633,24.92433043381015,18.477061531428017,22.839098796248436,368.59271489083767,403.1584778800607,47.255476268056114,21.16156854133714,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_029.mp4,2026-07-28T20:09:12.088346+00:00,2026-07-28T20:09:26.614823+00:00
task_00_trial_030,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,30,30,72,True,False,success,256,256,14.371467,32,256,256,31,206.88016689382493,269.92746824398637,25.860020861728117,19.827496784273535,25.152910966426134,397.1846657805145,464.23345832154155,49.64808322256431,20.141764497073574,9.24874210357666,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_030.mp4,2026-07-28T20:09:26.616733+00:00,2026-07-28T20:09:40.989075+00:00
task_00_trial_031,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,31,31,73,True,False,success,297,297,15.775232,38,304,297,37,194.74907582135577,204.55441800877452,24.917390172429357,19.252004703939562,22.57089801132679,375.5951873271873,404.9711039289832,48.0559498937142,20.8090777981022,9.24874210357666,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_031.mp4,2026-07-28T20:09:40.991521+00:00,2026-07-28T20:09:56.767437+00:00
task_00_trial_032,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,32,32,74,True,False,success,263,263,14.454155,33,264,263,32,199.44131775110057,205.13921603560448,25.024956219719844,19.38372865999153,24.018877372145653,385.45742822867453,410.7482485473156,48.36538072831277,20.67594599569867,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_032.mp4,2026-07-28T20:09:56.769671+00:00,2026-07-28T20:10:11.224533+00:00
